ID,Severity,Finding,Evidence,Customer/Business Impact,Required Remediation,Owner,Target,Retest,Status
PERF-C-001,Critical,Public booking idempotency is read-before-write without a database uniqueness constraint,"public_booking.py:699-704; audit/2026-09-03/probe-results.json persisted two rows once with one key",A retry or two app instances can create duplicate bookings and downstream charges,"Add scoped UNIQUE constraint; transactional insert/upsert; request-hash conflict detection; stable replay response; multi-instance PostgreSQL race test",Booking/API Engineering,Before any live booking intake,Not run,OPEN
PERF-C-002,Critical,No production-equivalent proof of zero duplicate or lost financial outcomes under load,"Only mock/unit tests and one-process HTTP probe exist",Payments cannot be trusted at scale or through failover,"Run signed webhook/payment/release/refund races on production-parity PostgreSQL and reconcile provider plus internal ledgers",Payments and SRE,Before live funds,Not run,BLOCKING
PERF-H-001,High,One process-global mutex serializes nearly every matched API route,"server.py:124 and 2956",Concurrent booking login tracking and payment requests queue behind one operation,"Use per-request connections from a bounded pool; remove global lock; add row/transaction locking by business aggregate",Backend Engineering,2026-09-21,Not run,OPEN
PERF-H-002,High,One process-global database connection serves all request threads,"server.py:123",Connection failure affects all traffic and prevents horizontal-safe concurrency,"Adopt pooler and request-scoped transaction/session lifecycle with health and saturation metrics",Backend/Database,2026-09-21,Not run,OPEN
PERF-H-003,High,Current deployment describes one free web instance,"render.yaml:25-31",One process or host failure can take down the API; cold starts violate latency,"Deploy at least two paid instances across failure domains behind a health-aware load balancer with autoscaling",Platform Engineering,Before pilot,Not run,OPEN
PERF-H-004,High,Current database is a free single declared database with no evidenced HA/PITR policy,"render.yaml:18-22",Database failure can exceed RTO/RPO and stop all bookings/payments,"Use managed HA PostgreSQL with PITR encrypted backups pooling and tested restore/failover",Database/SRE,Before pilot,Not run,OPEN
PERF-H-005,High,Public rate limit is 20 POSTs/minute per process-observed socket IP,"server.py:2163-2177 and 2936; mixed 100-user run returned sixteen 429s",Users behind a corporate NAT or load balancer can block each other; replicas enforce inconsistent limits,"Move to shared limiter keyed by verified client/user plus trusted proxy-aware IP; separate endpoint budgets and Retry-After",Security/Platform,2026-09-21,Not run,OPEN
PERF-H-006,High,Mixed 100-user local workload fails latency and error gates,"mixed-100-v2.json: p95 3105ms and 16% errors",Legitimate concurrent users cannot complete bookings predictably,"Fix limiter and serialization then run production-parity 100-user gate until it passes twice",Backend/SRE,2026-09-28,Not run,OPEN
PERF-H-007,High,Read-only workload reaches its first formal failure at 1000 concurrent clients,"read-clean-stress-1000.json: p95 2031.622ms and 1.6% errors",No verified runway to required 2500-10000 user stages,"Horizontalize services and run distributed load generation through every stage",SRE,2026-10-05,Not run,OPEN
PERF-H-008,High,No infrastructure-level durable queue and isolated worker deployment is configured,"render.yaml has only one web service and database",Slow notification document payment reconciliation or report work can consume request capacity,"Provision durable queue dead-letter path and independently autoscaled workers; use transactional outbox",Platform/Backend,2026-09-28,Not run,OPEN
PERF-H-009,High,Managed PostgreSQL restore is a printed playbook not an executed test,"scripts/go_live/backup_restore.py --postgres only prints commands",RTO and RPO for production data are unknown,"Perform destructive restore into isolated target; capture timestamps counts hashes and reconciliation",Database/SRE,Before pilot,Not run,OPEN
PERF-H-010,High,No systemwide metrics distributed tracing business SLO dashboards or paging rules are configured,"Access logs contain per-request duration only; no metrics stack in deployment",Failures can remain invisible while bookings or payments are wrong,"Instrument OpenTelemetry/metrics; add booking/payment/queue/database dashboards alerts and runbooks",SRE/Operations,Before pilot,Not run,OPEN
PERF-H-011,High,Location pings use the main relational database and MAX(seq)+1,"marketplace_trips.py:348-362",High-rate GPS writes can contend with booking/payment workloads and duplicate sequence values,"Use stream ingestion and time-series/location store; database-enforced sequence/idempotency; adaptive frequency",Tracking Engineering,Before scaled driver pilot,Not run,OPEN
PERF-H-012,High,No 8-24 hour soak mature-data or queue-recovery result exists,"No k6/Locust tool installed and no performance workflow before this audit",Leaks buildup token expiry and long-running degradation remain unknown,"Execute peak soak with mature data and post-run reconciliation in dedicated environment",SRE/QA,Before pilot,Not run,OPEN
PERF-H-013,High,No failover chaos or external-provider outage exercise has been executed,"No HA environment; external controls are code-level mocks",System may show false success or stick transactions during dependency failure,"Inject app DB cache queue map payment SMS email and storage failures and prove recovery",SRE/QA,Before pilot,Not run,OPEN
PERF-M-001,Medium,No managed shared cache/session/rate-limit service is configured,"render.yaml has no key-value service",Reference reads repeat work and horizontal instances cannot share limiter/session state,"Provision Redis/Valkey for non-authoritative data with outage behavior tests",Platform Engineering,Before scale test,Not run,OPEN
PERF-M-002,Medium,Schema migration runs in every container startup command,"Dockerfile:21",Concurrent rollout can race migrations and couple recovery to schema change,"Run one controlled migration job; use expand/contract migrations and rollback checks",Platform/Database,Before multiple API instances,Not run,OPEN
PERF-M-003,Medium,Auto-deploy is enabled without evidenced canary/blue-green or automatic rollback,"render.yaml:31",A failed deployment can affect all traffic at once,"Add staged deployment readiness business canaries and rollback conditions",Platform Engineering,Before pilot,Not run,OPEN
PERF-M-004,Medium,Documents and POD storage are not backed by an evidenced object-store malware-scan design,"No object storage service in deployment blueprint",Uploads can burden the app/database and recovery controls are unclear,"Use private encrypted object storage signed URLs scanning versioning and retention",Security/Platform,Before document intake,Not run,OPEN
PERF-M-005,Medium,Capacity and cost forecasts are engineering assumptions rather than approved business inputs,"CAPACITY_PLAN.md",Infrastructure could be overbuilt or undersized,"Product Finance Operations and Growth approve volumes RTO RPO SLO and budget; recalibrate with analytics",Product/Finance,2026-09-14,Not run,OPEN
