test_id,severity,title,user_role,scenario,preconditions,test_data,steps,expected_result,actual_result,evidence,assigned_owner,target_resolution_date,retest_result,final_status
AUD-C-001,Critical,Protected-payment ledger is arithmetically and structurally wrong,Client/Finance,Open synthetic payment detail,Deployed client demo,DEMO-PP-2001,"Open client demo; open Protected payments; view DEMO-PP-2001; add all lines","Transport + 10% admin + tax equals displayed protected total; no processing fee","38500 + 3850 + 847 is shown as 39347; platform fee omitted from total and processing fee is included",EV-WEB-007 and client-workspace.js:33-34/92,Finance Engineering,2026-09-10,NOT RUN,OPEN
AUD-C-002,Critical,Missing or nonnumeric cargo weight bypasses safe vehicle matching,Client/Provider safety,Submit without a valid weight,Local temporary DB,"weight omitted; weight='not-a-number'; motorcycle","Call public_booking.submit","Reject with actionable validation and no booking","Both requests accepted as LEGACY_CAPACITY_ONLY with no safety allowance",EV-PROBE-001 and public_booking.py:625-627,Booking Engineering,2026-09-10,NOT RUN,OPEN
AUD-H-001,High,Public frontend has no hosted API,All roles,Attempt real booking/auth/tracking,GitHub Pages,Production config,"Open booking and login pages; inspect config","Functional production APIs","API base is empty off localhost; core workflows cannot complete",EV-WEB-002/003 and config.js,Platform Engineering,2026-09-17,NOT RUN,OPEN
AUD-H-002,High,Concurrent duplicate booking idempotency is not atomic,Client/Operations,Retry same request concurrently,Temporary SQLite,24 callers with same idempotency key,"Submit concurrently; count rows","One row and one durable result","One run persisted two rows; repeat outcome varied",EV-PROBE-006 and public_booking.py:699-704,Booking Engineering,2026-09-10,NOT RUN,OPEN
AUD-H-003,High,Idempotent replay violates response contract,Client/API partner,Retry an accepted booking,Temporary SQLite,Same idempotency key,"Submit concurrently or replay","Same response schema as original","Replay returns tracking projection; callers fail on missing booking_id",EV-PROBE-006,API Engineering,2026-09-10,NOT RUN,OPEN
AUD-H-004,High,Payment states and available actions contradict each other,Client/Provider/Finance,Inspect booking/payment state,Synthetic client demo,LH-001046 and LH-001041,"Open bookings and payment records","State machine exposes only legal actions","Payment Required + Funds Protected + Pay Now; Disputed + Confirm Delivery",EV-WEB-005/006,Payments Engineering,2026-09-10,NOT RUN,OPEN
AUD-H-005,High,No approved live payment/protected-settlement provider,Client/Provider/Finance,Fund and release a booking,External integration required,None,"Inspect live flags and attempt checkout","Authenticated provider transaction and reconciled settlement","Live funds/channels intentionally disabled",Backend flags and readiness docs,Payments/Legal,2026-09-24,NOT RUN,OPEN
AUD-H-006,High,Live GPS POD communication and notifications are unavailable,Client/Driver/Operations,Run an active delivery,External integrations required,None,"Attempt tracking/POD/notification journey","Durable real-time status evidence and retry","Only concepts/synthetic records; providers disabled",EV-WEB-002/010 and readiness docs,Operations Engineering,2026-09-24,NOT RUN,OPEN
AUD-H-007,High,Public support and incident escalation are absent,All roles,Seek help with payment/delivery/privacy,Deployed support page,None,"Open support; find usable contact or case intake","Reachable support channel SLA and escalation","No production phone email ticket form DPO payment escalation or SLA",EV-WEB-011,Customer Operations,2026-09-17,NOT RUN,OPEN
AUD-H-008,High,Terms privacy and protected-payment operating model remain draft,All roles,Review launch policies,Deployed policy page,None,"Open policy sections","Counsel-approved current policies and named contacts","Key terms retention DPO dispute and provider structure are launch-gated",EV-WEB-012,Legal/Privacy,2026-09-24,NOT RUN,OPEN
